,dep,dep_pos,dep_w,pred
0,_PLACEHOLDER_OBJ_ <- nsubj <- coached -> dobj -> _PLACEHOLDER_SUB_,VERB,_PLACEHOLDER_OBJ_ coached _PLACEHOLDER_SUB_,www.freebase.com/american_football/football_coach/coaching_history
1,_PLACEHOLDER_SUB_ <- nsubj <- has -> dobj -> authority -> prep -> over -> pobj -> operations -> poss -> _PLACEHOLDER_OBJ_,VERB ADP NOUN ADP,_PLACEHOLDER_SUB_ served as coach at _PLACEHOLDER_OBJ_,www.freebase.com/american_football/football_coach/current_team_head_coached
2,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> league -> acl -> divided -> prep -> between -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_OBJ_ is league divided between _PLACEHOLDER_SUB_,www.freebase.com/american_football/football_conference/league
3,_PLACEHOLDER_OBJ_ <- nsubj <- was -> prep -> until -> pobj -> July -> relcl -> joined -> dobj -> _PLACEHOLDER_SUB_,VERB ADP PROPN VERB,_PLACEHOLDER_OBJ_ was until July joined _PLACEHOLDER_SUB_,www.freebase.com/american_football/football_conference/teams
4,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> division -> compound -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ is division _PLACEHOLDER_OBJ_,www.freebase.com/american_football/football_division/conference
5,_PLACEHOLDER_OBJ_ <- attr <- became <- ccomp <- named -> nsubjpass -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_SUB_ is football _PLACEHOLDER_OBJ_,www.freebase.com/american_football/football_player/position_s
6,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> coach -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is coach of _PLACEHOLDER_SUB_,www.freebase.com/american_football/football_team/current_head_coach
7,_PLACEHOLDER_OBJ_ <- attr <- became -> attr -> _PLACEHOLDER_SUB_,VERB NOUN PROPN,_PLACEHOLDER_OBJ_ is division Bay _PLACEHOLDER_SUB_,www.freebase.com/american_football/football_team/division
8,_PLACEHOLDER_SUB_ <- nsubj <- was -> attr -> coach -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ was coach of _PLACEHOLDER_OBJ_,www.freebase.com/american_football/football_team/historical_coaching_staff
9,_PLACEHOLDER_SUB_ <- nsubjpass <- sponsored -> dobj -> _PLACEHOLDER_OBJ_,VERB,_PLACEHOLDER_SUB_ sponsored _PLACEHOLDER_OBJ_,www.freebase.com/amusement_parks/ride/designer
